Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,Article_ID
Regenboogvlag bij stadhuis Arnhem in kader Pride Week; ‘Vrijheid voor de liefde’,2021-08-01,International,AD/Algemeen Dagblad.nl,News,172,,172,"Netherlands, Kingdom of the",Redactie,,,,Regenboogvlag bij stadhuis Arnhem in kader Pride Week; ‘Vrijheid voor de liefde’,Regenboogvlag bij stadhuis Arnhem in kader Pride Week; ‘Vrijheid voor de liefde’ ARNHEM - De gemeente Arnhem heeft vanmiddag in verband met de Pride Week aan een vlaggenmast voor het stadhuis de Regenboogvlag gehesen. In de Pride Week wordt met allerhande activiteiten het 25-jarige jubileum van de Gay Pride Parade in Amsterdam gevierd.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:638J-BXG1-JBHV-K4TS-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,782
"Senn is non-binair, maar niet voor de wet",2021-08-01,International,NRC.nl,News,1136,,1136,"Netherlands, Kingdom of the",Menno Sedee,,,,"Senn is non-binair, maar niet voor de wet","Senn is non-binair, maar niet voor de wet Senn van Beek wil dat diens genderidentiteit erkend wordt en stelt de staat aansprakelijk. „Als mensen vraagtekens zetten bij mijn legitimatie kan ik nergens op terugvallen.” Keer op keer wordt Senn van Beek (31) geconfronteerd met de ontkenning van diens identiteit. Door de Nederlandse overheid. Boven de uitnodiging voor een coronavaccinatie van Van Beek stond ‘Geachte heer/mevrouw’. Zoals dat boven iedere uitnodiging staat, maar Van Beek is geen heer of mevrouw. Toen de hormoonarts van Van Beek, die nog als vrouw geregistreerd staat, een middel wilde voorschrijven tegen de groei van lichaamsbeharing, gaf het systeem een foutmelding: finasteride is alleen beschikbaar voor mannen.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:638K-P1N1-DY4K-82NK-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,3023
Senn 'bestaat niet' volgens de wet Ik word nergens erkend Senn van Beek stelt de staat aansprakelijk voor het ontkennen van genderidentiteiten,2021-08-02,International,NRC,News,1175,VOORPAGINA;Blz. 1,1175,"Netherlands, Kingdom of the",Menno Sedee,,,,Senn 'bestaat niet' volgens de wet Ik word nergens erkend Senn van Beek stelt de staat aansprakelijk voor het ontkennen van genderidentiteiten,"Senn 'bestaat niet' volgens de wet Ik word nergens erkend Senn van Beek stelt de staat aansprakelijk voor het ontkennen van genderidentiteiten ABSTRACT Genderidentiteit Senn van Beek is non-binair. En dat bestaat niet volgens de wet. Maandag gaat een aansprakelijkstelling naar de minister. Keer op keer wordt Senn van Beek (31) geconfronteerd met de ontkenning van diens identiteit. Door de Nederlandse overheid. Boven de uitnodiging voor een coronavaccinatie van Van Beek stond 'Geachte heer/mevrouw'. Zoals dat boven iedere uitnodiging staat, maar Van Beek is geen heer of mevrouw. Toen de hormoonarts van Van Beek, die nog als vrouw geregistreerd staat, een middel wilde voorschrijven tegen de groei van lichaamsbeharing, gaf het systeem een foutmelding: finasteride is alleen beschikbaar voor mannen.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:638P-FGG1-JCMP-22XH-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,3024
Filmfestival schept een nieuw probleem Analyse Wierd Duk,2021-08-19,International,De Telegraaf.nl,News,388,OPINIE; FRONTPAGE,388,"Netherlands, Kingdom of the",Wierd Duk,,,,Filmfestival schept een nieuw probleem Analyse Wierd Duk,"Filmfestival schept een nieuw probleem Analyse Wierd Duk Steeds vaker zoeken ondernemingen, cultuurinstellingen, onderwijsinstituten en overheidsorganisaties aansluiting bij de tijdgeest. Leidend daarin is de wens om ’inclusiever’ en ’diverser’ te worden. Veel instituten constateren op hun werkvloer een gebrek aan ’mensen van kleur’, vrouwen, vertegenwoordigers van religieuze en seksuele minderheden en ook mensen met een beperking. Door actief naar werknemers uit deze categorieën op zoek te gaan hopen zij dat hun personeel een betere afspiegeling zal vormen van de samenleving.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63DD-JVT1-JBNJ-21BY-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2772
Adoptiekind Eminem (17) komt uit de kast als non-binair,2021-08-13,International,De Telegraaf.nl,News,109,ENTERTAINMENT; GOSSIP; ENTERTAINMENT,109,"Netherlands, Kingdom of the",,,,,Adoptiekind Eminem (17) komt uit de kast als non-binair,"Adoptiekind Eminem (17) komt uit de kast als non-binair Stevie, het adoptiekind van rapper Eminem, is uit de kast gekomen als non-binair en identificeert zichzelf niet als man of vrouw. De 19-jarige Stevie laat in een video op TikTok weten aangesproken te willen worden met de voornaamwoorden hen, haar en hem.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63C5-7PS1-DY4K-S0D7-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2771
Transgender vrouw vertilt zich aan 125 kilo en verlaat Olympische Spelen met boodschap: sport is voor iedereen,2021-08-02,International,De Volkskrant.nl,News,393,,393,"Netherlands, Kingdom of the",Eline van Suchtelen,,,,Transgender vrouw vertilt zich aan 125 kilo en verlaat Olympische Spelen met boodschap: sport is voor iedereen,"Transgender vrouw vertilt zich aan 125 kilo en verlaat Olympische Spelen met boodschap: sport is voor iedereen Het is Laurel Hubbard niet gelukt om een medaille bij het gewichtheffen te veroveren op de Olympische Spelen in Tokio. De deelname van Hubbard, die transgender is, ging gepaard met veel commotie. Er zou sprake zijn van een oneerlijk voordeel omdat ze is geboren als man.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:638T-JMH1-JBHV-K1D4-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1168
Seksuele bevrijding leidt tot maatschappelijke bevrijding – zou het heus?,2021-08-27,International,De Volkskrant.nl,News,2150,,2150,"Netherlands, Kingdom of the",Connie Palmen,,,,Seksuele bevrijding leidt tot maatschappelijke bevrijding – zou het heus?,"Seksuele bevrijding leidt tot maatschappelijke bevrijding – zou het heus? In haar boek Ieder een lichaam (Everybody) pleit Olivia Laing voor het lichaam als een medium van bevrijding. Op een dag zal de ene helft van de westerse wereld in therapie zijn bij de andere helft, en die andere helft is zelf weer in behandeling bij een hulpverlener, zodat het erop neerkomt dat een groot deel van de mensheid tegen betaling bezig is de ander te genezen van een fysieke of psychische aandoening. Dankzij wat cursussen en een wetenschappelijk klinkend etiket, hangt rond de dienstverleners een medisch aureool, van psychodynamische coach tot craniosacraaltherapeut. Of het nu door het inmiddels ingeburgerde EMDR, door homeopathie of door regelrechte kwakzalverij is, de coaches, counselors en consultanten beloven een vorm van heling. Behalve dat de wildgroei aan amateurgenezers een tekort van de reguliere geneeskunde verraadt, is het de vraag hoe schrikbarend deze ontwikkeling is. Ik ben ervan overtuigd dat veel somatische en psychische klachten aanzienlijk verminderen of zelfs verdwijnen alleen al door de persoonlijke aandacht van iemand met een welluidend stempel. Het is hoogstens alarmerend dat steeds meer mensen bereid zijn daarvoor te betalen.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63G3-WSB1-DY0X-94NB-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1185
"Formule 1 een mannensport? Kijk in de achteruitkijkspiegel, de vrouwen komen eraan!",2021-09-02,International,AD/Algemeen Dagblad.nl,News,592,,592,"Netherlands, Kingdom of the",Annemiek Brandriet,,,,"Formule 1 een mannensport? Kijk in de achteruitkijkspiegel, de vrouwen komen eraan!","Formule 1 een mannensport? Kijk in de achteruitkijkspiegel, de vrouwen komen eraan! Een vrouw in de Formule 1? Een kwestie van tijd! Het Formule 1-circus strijkt dit weekend neer in Zandvoort. En dat juichen echt niet alleen mannen toe. Svenja Tillemans is één van de gelukkigen die een kaart wist te bemachtigen voor het raceweekend. ,,Het heeft heel lang geduurd voor die kriebel er echt was”, geeft de Alphense toe. ,,Ik was lang voorzichtig. Zou ik er wel bij kunnen zijn, worden we wel ingeloot? Gaat het wel door?” Tillemans is oprichter van Formule 1 Vrouwen, een fanclub van dames die gek zijn op autoracen. Met een groepje van in totaal elf dames zijn zij dit weekend herkenbaar aanwezig in Zandvoort. Herkenbaar, vanwege hun roze outfits. ,,Ik verwacht wel dat er iets moois gaat gebeuren”, zegt ze gevraagd naar een voorspelling. ,,Een podiumplek. Ja hallo, gewoon de hoogste tree hoor. Dan staat Max gelijk op één in het kampioenschap. Daar ga ik wel voor.”Door Max zijn meer vrouwen gaan racen Max Verstappen Max is natuurlijk Max Verstappen, de coureur die Nederland trots moet maken komend weekend. Niet alleen heeft hij voor een enorme fanschare gezorgd, dankzij Verstappen is ook de autosport weer op de kaart gezet in Nederland. ,,De sport is populairder geworden door Max”, zegt Gaby Uljee. ,,En daardoor zijn er ook meer vrouwen gaan racen”, weet de coureur uit Alphen. Zelf heeft ze nooit in een formulewagen gereden, maar ze reed sinds 1994 verschillende kampioenschappen in het toerwagencircuit en deed ook mee aan de Dakar Rally met haar man Tim Coronel.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63HJ-0911-DY0X-91KP-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,799
José (41) voelt zich als transgender onveilig in Nieuwegein : ‘Je wordt hier constant uitgescholden’,2021-09-26,International,AD/Algemeen Dagblad.nl,News,343,,343,"Netherlands, Kingdom of the",Indra Jager,,,,José (41) voelt zich als transgender onveilig in Nieuwegein : ‘Je wordt hier constant uitgescholden’,"José (41) voelt zich als transgender onveilig in Nieuwegein : ‘Je wordt hier constant uitgescholden’ ‘Kankerhomo!’ José Meinema (41) voelt zich onveilig in Nieuwegein . Afgelopen week werd ze daar voor van alles en nog wat uitgescholden, omdat ze er anders uitziet dan anderen. Ze heeft aangifte gedaan van het incident. Meinema, die in Goirle in Brabant woont, was vorige week naar een damesmiddag in de Dansfabriek in Nieuwegein . Daar is een bijeenkomst voor transgenders, waar kennis wordt uitgewisseld over hoe het is om een transitie van man naar vrouw te ondergaan. Om 16.45 uur is die afgelopen, dus loopt ze naar haar auto. Die staat een stukje verder in de straat. ,,Ik liep daar recht naartoe, over de stoep, toen er vanuit een zijstraatje rechts een groepje jongeren op me af kwam.” Homo De jongens staren naar haar, waardoor ze meteen op haar hoede is. ,,Ik dacht: nee, het zal toch niet. Maar ik wilde me niet laten kennen, dus ik liep rechtstreeks naar mijn vriendin, die bij de auto stond te wachten.” De vriendin ziet wat er gebeurt, dus zwaait al. Meinema zwaait terug. ,,Om te laten zien dat ik niet alleen was. De jongens begonnen met het schreeuwen van ‘homo’ en daarna ‘kankerhomo’. Je bent op zo’n moment toch bang dat je in elkaar geslagen wordt. Tegen zes jongens begin ik niks.” ,,Ik vond het helemaal niet fijn”, vertelt ze.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63PH-CP81-JBHV-K0GM-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,816
De antieke reus,2021-09-04,International,NRC.nl,News,504,,504,"Netherlands, Kingdom of the",Leendert van der Valk,,,,De antieke reus,"De antieke reus Muzikant en instrument zijn een twee-eenheid. Leendert van der Valk onderzoekt hoe dat voelt. Deze week: de bassax van Marc Alberto. De bassax staat groot, oud en imposant te wezen tussen de verzameling synthesizers waarvan de draden en pluggen over de studiovloer kruipen. Een oer-instrument uit 1923. Het gebogen koper moet vroeger tijdens street parades zijn rondgesjouwd door New Orleans, maar voor multi-instrumentalist Marc Alberto (30) is deze antieke reus van anderhalve meter hoog net zo goed een synthesizer.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62D9-1B61-DY4K-80XD-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2967
Trans vrouwen en babyolifantjes,2021-09-24,International,NRC,News,1627,BOEKEN;Blz. 8,1627,"Netherlands, Kingdom of the",Persis Bekkering,,,,Trans vrouwen en babyolifantjes,"Trans vrouwen en babyolifantjes ABSTRACT Torrey Peters Met veel liefde en humor zet deze debutant drie personages met verschillende genderidentiteiten tegenover elkaar. Hoe werkt dat zo burgerlijke genre van de zedenschets met trans personages? Wie iets van de ervaring van trans vrouwen wil begrijpen - krijgt van Ames, de hoofdpersoon in de debuutroman van Torrey Peters - het verhaal van de weesolifantjes te horen. In 2002 werden drie jonge weesolifantjes neergeschoten in een wildreservaat in Zuid-Afrika, omdat ze een sport hadden gemaakt van het achtervolgen, verkrachten en vermoorden van neushoorns; maar liefst 63 slachtoffers hadden ze gemaakt. Ook in andere landen zijn losgeslagen olifanten een probleem. In Sierra Leone had een kudde een dorp volledig platgestampt en daarbij een oude vrouw vermoord, in een actie die met militaire precisie werd uitgevoerd. Sinds halverwege de jaren negentig wordt de dood van bijna alle volwassen mannelijke olifanten veroorzaakt door andere, jongere olifanten. Wat is er aan de hand? Ames had een artikel in Nature gelezen, waarin wetenschappers stelden dat de olifantjes lijden aan chronische stress, als gevolg van het instorten van de normaal zo complex georganiseerde, ritualistische olifantencultuur. De olifanten van dit millennium zijn een weesgeneratie. In de afgelopen decennia zijn complete generaties olifanten door mensenhand omgebracht, waardoor er bijna geen intergenerationele kennisoverdracht meer plaatsvindt, geen levenslessen meer worden doorgegeven over hoe om te gaan met de groep, familie, emoties en het eigen achtduizend kilo wegende lijf. Olifantjes worden getergd door ondraaglijke herinneringen aan pijn, trauma en rouw.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63P0-X7P1-JCMP-24C2-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,3056
Ze moeten kiezen voor de beste',2021-09-24,International,De Telegraaf,News,338,RADIOTV;Blz. 14,338,"Netherlands, Kingdom of the",,,,,Ze moeten kiezen voor de beste',"Ze moeten kiezen voor de beste' Emma Wagemans (24) is een van de kandidaten die een gooi doet om K3 weer compleet te maken. Al van jongs af aan speelt het zangtrio een grote rol in haar leven. ,,Ik ben geboren als jongetje, maar wilde graag een meisje zijn. Daardoor werd ik heel erg gepest. Na school zat ik in mijn slaapkamer, een veilige haven, en dan ging de cd-speler met K3-muziek aan.""",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63P0-YS91-DY4D-Y17N-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2775
WorldPride heel hard nodig' Hoofdstad moet baken van hoop worden als het gaat om homo-emancipatie,2021-09-30,International,De Telegraaf,News,873,REGIO;Blz. 4,873,"Netherlands, Kingdom of the",,,,,WorldPride heel hard nodig' Hoofdstad moet baken van hoop worden als het gaat om homo-emancipatie,"WorldPride heel hard nodig' Hoofdstad moet baken van hoop worden als het gaat om homo-emancipatie Hoofdstad moet baken van hoop worden als het gaat om homo-emancipatie Amsterdam gaat proberen in 2026 gaststad te zijn van de WorldPride, het evenement dat de emancipatie voor de LHBTI-gemeenschap wereldwijd op de kaart zet. Met het thema, dat het 'homohuwelijk' 25 jaar geleden als eerste in ons land werd ingevoerd, wil Amsterdam hoop voor de toekomst uitstralen. Onze hoofdstad is niet de enige stad die zich kandidaat stelt voor de WorldPride. Er is concurrentie van de Amerikaanse stad Orlando die in 2026 stil wil staan bij het bloedbad dat in juni 2016 in een nachtclub werd aangericht. Daarbij werden 49 mensen doodgeschoten. Lucien Spee de Castillo Ruiz, directeur van Amsterdam Pride voert de karavaan aan om het evenement over vijf jaar in Nederland te laten plaatsvinden. ,,Het is vooral de baken van hoop naar de buitenwereld die we willen benadrukken.""",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63R8-SV51-DY4D-Y32W-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2778
Politieke belofte verslikt zich in debat over trans rechten,2021-09-24,International,de Volkskrant,News,934,Ten Eerste;Blz. 31,934,"Netherlands, Kingdom of the",PATRICK VAN IJZENDOORN,,,,Politieke belofte verslikt zich in debat over trans rechten,"Politieke belofte verslikt zich in debat over trans rechten In vier jaar tijd is de liefde van de Labourpartij voor de eens bejubelde Rosie Duffield flink bekoeld. De reden? Haar stellingname in de discussie over transgender vrouwen. Door Rosie Duffield Rosemary Clare Duffield was op 8 juni 2017 de grote heldin van de Britse Labourpartij. Bij de verkiezingen had ze ervoor gezorgd dat Canterbury voor het eerst in honderd jaar een progressieve afgevaardigde had in het Lagerhuis. Ruim vier jaar later is de liefde dusdanig bekoeld, dat ze de komende dagen wegblijft van het partijcongres in Brighton. De reden van haar afwezigheid: de bedreigingen die ze kreeg na het versturen van een tweet met de mededeling dat 'alleen vrouwen baarmoeders hebben'.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63NX-JFF1-DYRY-X4XF-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1199
Transfoob,2021-09-21,International,de Volkskrant,News,626,V;Blz. 8,626,"Netherlands, Kingdom of the",JAN KUITENBROUWER,,,,Transfoob,"Transfoob Meepraten voor beginners. Jan Kuitenbrouwer schrijft het woordenboek van de verbale burgeroorlog die we het 'openbaar debat' noemen. Wakkerlands Deze rubriek dankt haar bestaan aan het feit dat de cultuuroorlog tussen rechts en links voor een belangrijk deel een taalstrijd is. In de woke kringen wordt niet-inclusief taalgebruik als een vorm van 'geweld' beschouwd. Zelfs de termen uitwissing en genocide vallen. Zo'n geweldsdelict is bijvoorbeeld het schrijven van 'transvrouw', in plaats van 'trans vrouw', schreef Volkskrant-columnist Asha Ten Broeke onlangs. 'Transvrouw/man', zonder spatie, reduceert zo iemand tot een ondersoort, terwijl zij gewoon vrouw of man zijn, met 'trans' als eigenschap, vindt zij. 'Net als lang, rijk of aardig.'",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63N8-MWH1-JC8X-60KY-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1197
Gemist? Twee mannen aangehouden na schietpartij en tanken in België loont voor Rotterdammers,2021-10-09,International,AD/Algemeen Dagblad.nl,News,416,,416,"Netherlands, Kingdom of the",Redactie Rotterdam,,,,Gemist? Twee mannen aangehouden na schietpartij en tanken in België loont voor Rotterdammers,"Gemist? Twee mannen aangehouden na schietpartij en tanken in België loont voor Rotterdammers Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het nieuws van zaterdag 9 oktober. Filiaal MultiVlaai beschoten, meerdere kogelinslagen in ruit Medewerkers van MultiVlaai aan het Poolsterplein in Rotterdam-Oosterflank schrokken zich zaterdagochtend een hoedje toen ze op hun werk aankwamen. In de ruit van de gebakswinkel zaten meerdere kogelinslagen. Niemand is nog aangehouden voor de beschieting.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63T9-BDS1-JBHV-K0YX-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,828
Netflix ontslaat medewerker die lekte over show stand-upcomedian Dave Chapelle,2021-10-16,International,AD/Algemeen Dagblad.nl,News,246,,246,"Netherlands, Kingdom of the",Showredactie,,,,Netflix ontslaat medewerker die lekte over show stand-upcomedian Dave Chapelle,"Netflix ontslaat medewerker die lekte over show stand-upcomedian Dave Chapelle Netflix heeft een medewerker ontslagen die wordt verdacht van het delen van vertrouwelijke informatie met de media. Het personeelslid zou onder meer hebben gelekt hoeveel kosten de videostreamingdienst had gemaakt voor een controversiële show van stand-upcomedian Dave Chappelle. Veel Netflix-medewerkers zijn boos over Chappelles opmerkingen in zijn optreden The Closer, omdat die kwetsend zouden zijn voor transgender personen.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63VR-D7M1-JBHV-K386-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,836
‘Trans vluchtelingen vragen eigen benadering in asielprocedure’,2021-10-20,International,NRC.nl,News,1239,,1239,"Netherlands, Kingdom of the",Simone Peek,,,,‘Trans vluchtelingen vragen eigen benadering in asielprocedure’,"‘Trans vluchtelingen vragen eigen benadering in asielprocedure’ Nu worden transgender vluchtelingen in de asielprocedure nog op één hoop gegooid met homoseksuele asielzoekers, maar dat moet anders, volgens een recent onderzoek. „Het ‘homokader’ past niet zo goed op de ervaringen die trans mensen hebben gehad.” „Ik was in groot gevaar”, zegt Alejandra Ortiz (38). Op haar werk in een callcentrum in Mexico vreesde ze het geweld van haar macho collega’s als ze erachter zouden komen dat ze transgender is. Ze zag hoe haar homoseksuele collega’s gepest werden, bijvoorbeeld door ze te laten struikelen. Na de moord op transgender activist Agnés Torres Hernández, in 2012 in Puebla , Mexico , werd Ortiz depressief. Ze kwam erachter dat een van haar vrienden een transgender sekswerker had vermoord omdat zij hem ‘misleid’ zou hebben. „Ik dacht alleen nog maar aan hoe ik ergens in een vuilnisbak teruggevonden zou worden.” Nu loopt Ortiz in de herfstzon langs een Amsterdamse gracht, in donkerblauwe jeans en rode coltrui. Ze zit voor de tweede keer in de asielprocedure. In 2015 kwam ze naar Nederland, in 2018 werd haar asielaanvraag afgewezen.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63WN-BTT1-DY4K-83NY-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,3075
Onrust bij Netflix om 'transfobe' komiek,2021-10-18,International,NRC Handelsblad,News,867,IN HET NIEUWS;Blz. 2,867,"Netherlands, Kingdom of the",Bas Blokker,,,,Onrust bij Netflix om 'transfobe' komiek,"Onrust bij Netflix om 'transfobe' komiek ABSTRACT Amerikaanse streamingdienst De conferences van de populaire stand-upcomedian Dave Chappelle leveren Netflix miljoenen kijkers op, maar ook intern geruzie. Harde grappen over homoseksuelen en transgenders hebben onrust veroorzaakt bij Netflix . Dit weekend heeft de streamingdienst een werknemer ontslagen die betrokken was bij de organisatie van een werkonderbreking naar aanleiding van de show The Closervan de Amerikaanse komiek Dave Chappelle. De stakingsactie, die gepland is voor komende woensdag, is een protest tegen uitspraken van Chappelle in de show die twee weken geleden voor het eerst te zien was. Chappelle, een van de bekendste stand-upcomedians van de Verenigde Staten, staat bekend om zijn kritiek op wat hij de ,,overgevoeligheid van de meute"" noemt. Aan het begin van zijn laatste show zegt hij dat hij voor eens en altijd wil verduidelijken wat hij met al die grappen over de ,,LBGTQ-gemeenschap - zeg ik het zo goed?"" door de jaren heen heeft bedoeld.",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63W5-VJ61-F03R-S3TG-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,3071
Loiza Lamers openhartig in docu: 'Er zit nog pijn en verdriet',2021-10-06,International,De Telegraaf,News,415,RADIOTV;Blz. 14,415,"Netherlands, Kingdom of the",Patricia Cortie,,,,Loiza Lamers openhartig in docu: 'Er zit nog pijn en verdriet',"Loiza Lamers openhartig in docu: 'Er zit nog pijn en verdriet' door  Patricia Cortie Loiza Lamers laat een kant van zichzelf zien, die ze tot nu toe verborgen hield voor de buitenwereld. De eerste transgender-winnares van Holland 's next top model en Expeditie Robinson-deelneemster praat in de documentaire Altijd al Loiza openhartig over haar jeugd, haar liefdesleven en haar angsten. ,,Het was heel intens. Soms dacht ik: waarom doe ik dit?""",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63SJ-KTD1-DY4D-Y09T-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2779
Feministische filosoof 'gecanceld' door translobby Kathleen Stock tegen gebruik wc door transgender vrouwen,2021-10-14,International,De Telegraaf,News,290,BUITENLAND;Blz. 15,290,"Netherlands, Kingdom of the",Joost van Mierlo,,,,Feministische filosoof 'gecanceld' door translobby Kathleen Stock tegen gebruik wc door transgender vrouwen,"Feministische filosoof 'gecanceld' door translobby Kathleen Stock tegen gebruik wc door transgender vrouwen Kathleen Stock tegen gebruik wc door transgender vrouwen door  Joost van Mierlo LONDEN -  De straatvechters van het Britse genderactivisme hebben Kathleen Stock, hoogleraar Filosofie aan de Universiteit van Sussex, in het vizier. Ze heeft het gewaagd om te stellen dat transgender vrouwen niet zomaar gebruik mogen maken van vrouwentoiletten en zeker niet opgenomen moeten worden in vrouwengevangenissen.",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63V8-2CG1-JBNC-72FX-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2784
Mijn kinderen weten straks niet beter dan dat ik non-binair ben',2021-10-02,International,de Volkskrant,News,1008,"Magazine Rubrieken;Blz. 68, 69",1008,"Netherlands, Kingdom of the",CORINE KOOLE,,,,Mijn kinderen weten straks niet beter dan dat ik non-binair ben',"Mijn kinderen weten straks niet beter dan dat ik non-binair ben' Mees leefde jaren in een schemergebied tussen man en vrouw, maar was beslist niet ongelukkig. 'Mijn vrouw besloot die kluwen te gaan ontwarren.' Moderne liefde Mees (29): 'Mijn puberteit was een drama. Ik herinner me hoe ik onder de douche stond en keek naar mijn beginnende borsten en huilde. Ik probeerde zo min mogelijk in de spiegel te kijken. Ik haatte mijn vrouwelijke heupen, mijn menstruaties, mijn hoge stem.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63RR-66F1-JC8X-60MH-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1201
"De vanzelfsprekende manier waarop een staalkaart aan queer personages in Anne+ de revue passeert, verdient lof â˜…â˜…â˜…â˜†â˜†",2021-10-14,International,de Volkskrant,News,526,"V;Blz. 10, 11",526,"Netherlands, Kingdom of the",PAULINE KLEIJER,,,,"De vanzelfsprekende manier waarop een staalkaart aan queer personages in Anne+ de revue passeert, verdient lof â˜…â˜…â˜…â˜†â˜†","De vanzelfsprekende manier waarop een staalkaart aan queer personages in Anne+ de revue passeert, verdient lof â˜…â˜…â˜…â˜†â˜† Fans die gewoon een lange aflevering van de serie willen zien, zullen zich prima vermaken. Maar als film kabbelt het allemaal net iets te veel. Recensie Zal ze wel of zal ze niet? De twijfel van hoofdpersoon Anne staat al een paar jaar centraal in Anne+, sinds 2018 te zien als serie. De Amsterdamse twintiger Anne twijfelt aan alles, van baantjes tot relaties. Maar niet aan haar geaardheid. Ze is lesbisch, dat is een gegeven, en geen probleem.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63V6-0341-JC8X-63N8-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1206
